영화제목,장르,감독,배우,개봉일,포스터이미지,영화줄거리
사유리,공포(호러),시라이시 코지,"미나미데 료카, 네기시 토시에, 콘도 하나, 우라베 후사코, 키타로",20250416,https://image.tmdb.org/t/p/w500/bjylp8GEa6jLRbEwm2gd1peYVDf.jpg,꿈에 그리던 집으로 이사 온 카미키 가족. 하지만 행복한 시간도 잠시 어디선가 들려오는 기괴한 웃음소리와 함께 가족들이 차례로 죽음을 맞이한다. 이제 남은 사람은 치매에 걸린 할머니와 중 3손자. 두 사람은 모든 일들이 이 집에 살았던 소녀 사유리 때문인 걸 알게 되고 이들의 살아남기 위한 각성과 반격이 시작된다.
드라이브 인 타이페이,액션,조지 황,"루크 에반스, 계륜미, 성 강",20250411,https://image.tmdb.org/t/p/w500/3dNl6JkePvkQqFYg3dz32lbJ9KY.jpg,"마약단속국 요원, 존 로러와 전직 비밀 요원이자 대만 최고의 레이서, 조이 강. 과거의 인연을 간직한 채 운명적으로 15년 뒤 타이페이에서 마주한다. 뜻밖의 재회의 시간도 잠시, 강의 추격을 피하기 위한 급박한 추적극이 시작된다."
너의 췌장을 먹고 싶어,드라마,츠키카와 쇼,"키타가와 케이코, 오구리 슌, 하마베 미나미, 키타무라 타쿠미",20171025,https://image.tmdb.org/t/p/w500/3MqdEaRdYfkfJMFzXWlIf7HYAxk.jpg,"스스로를 외톨이로 만드는 ‘나’학교 최고의 인기인 ‘그녀’,  어느 날, 우연히 주운 [공병문고]를 통해 나는 그녀와 비밀을 공유하게 되었다.  “너 말이야, 정말 죽어?” “...응, 죽어”  그날 이후, 너의 무언가가 조금씩 내게로 옮겨오고 있다."
미키 17,"어드벤처, SF, 드라마, 코미디",봉준호,"로버트 패틴슨, 나오미 애키, 스티븐 연, 토니 콜렛, 마크 러팔로",20250228,https://image.tmdb.org/t/p/w500/mH7QnJDxQibVZw0M66IBZbsw2O6.jpg,"친구 티모와 함께 차린 마카롱 가게가 쫄딱 망해 거액의 빚을 지고 못 갚으면 죽이겠다는 사채업자를 피해 지구를 떠나야 하는 미키. 기술이 없는 그는, 정치인 마셜의 얼음행성 개척단에서 위험한 일을 도맡고, 죽으면 다시 프린트되는 익스펜더블로 지원한다. 4년의 항해와 얼음행성 니플하임에 도착한 뒤에도 늘 미키를 지켜준 여자친구 나샤. 그와 함께, 미키는 반복되는 죽음과 출력의 사이클에도 익숙해진다. 그러나 미키 17이 얼음행성의 생명체인 크리퍼와 만난 후 죽을 위기에서 돌아와 보니 이미 미키 18이 프린트되어 있다. 행성 당 1명만 허용된 익스펜더블이 둘이 된 멀티플 상황. 둘 중 하나는 죽어야 하는 현실 속에 걷잡을 수 없는 사건이 기다리고 있었으니…"
침범,"미스터리, 스릴러","이정찬, 김여정","곽선영, 권유리, 이설, 기소유, 신동미, 허정도, 길해연, 유정후, 허지원, 김승희, 염지영, 윤기창, 이철우, 한예주, 서예나, 안혜원",20250312,https://image.tmdb.org/t/p/w500/6nhqelAYhL09hZCTkDYaosj0mp0.jpg,"기이한 행동을 하는 7살 딸 소현을 홀로 책임져야 하는 싱글맘 영은. 소현의 위태로운 행동을 막기 위해 고군분투하지만 영은의 평범한 삶은 망가져 가고, 소현은 점점 더 통제할 수 없는 방향으로 치닫는다. 20년 후, 어린 시절의 기억을 잃고 특수 청소 업체에서 일하고 있는 민. 어느 날 그의 앞에 해맑은 얼굴의 침입자 해영이 나타난다. 자신이 쌓아온 일상의 틈을 아무렇지 않게 비집고 들어오는 해영에게 민은 묘한 불안감을 느끼는데."
콘클라베,"드라마, 스릴러",에드워드 버거,"랄프 파인즈, 스탠리 투치, 존 리스고, 이사벨라 로셀리니",20250305,https://image.tmdb.org/t/p/w500/p1ELcxvzCa1uSCpRfDs4KddGn4x.jpg,"교황의 예기치 못한 죽음 이후 새로운 교황을 선출하는 콘클라베가 시작되고, 로렌스는 단장으로서 선거를 총괄하게 된다. 한편 당선에 유력했던 후보들이 스캔들에 휘말리면서 교활한 음모와 탐욕이 수면 위로 드러나는데…"
위플래쉬,드라마,데이미언 셔젤,"마일즈 텔러, J.K. 시몬스",20150312,https://image.tmdb.org/t/p/w500/oKNkhmyIBiDENivK6ELZxfBWa3q.jpg,"최고의 드러머가 되기 위해서라면 무엇이든 할 각오가 되어있는 음악대학 신입생 앤드류는 아무도 없는 지하실에서 혼자 드럼을 연습하던 중 우연한 기회로 누구든지 성공으로 이끄는 최고의 실력자이지만, 또한 동시에 최악의 폭군인 플렛처 교수에게 발탁되어 그의 밴드에 들어가게 된다. 설레는 마음으로 참가한 첫 연습에서, 그는 플렛처 교수의 진짜 얼굴을 마주치게 된다. 폭언과 학대 속에 좌절과 성취를 동시에 안겨주는 플렛처의 지독한 교육방식은 천재가 되길 갈망하는 앤드류의 집착을 끌어내며 그를 점점 광기로 몰아넣는데..."
퇴마록,"애니메이션, 액션, 미스터리",김동철,"최한, 남도형, 정유정, 김연우, 홍승효, 황창영, 김민주, 표영재",20250221,https://image.tmdb.org/t/p/w500/Aa3O79AfrswC6AZcQnWgdGPElyI.jpg,"수백 년간 은거하던 해동밀교의 145대 교주가 생명을 제물로 바쳐 절대 악(惡)의 힘을 얻기 위한 의식을 시작한다. 해동밀교의 다섯 호법들은 그를 막기 위해 힘을 보태줄 새로운 인물을 찾아나서고, 파문 당한 신부 박윤규, 무공을 위해 밀교를 찾은 현암, 사건의 중심에 있는 예언의 아이 준후가 합세해 거대한 악에 맞서는데..."
에밀리아 페레즈,"뮤지컬, 코미디",자크 오디아르,"카를라 소피아 가스콘, 조 샐다나, 셀레나 고메즈",20250312,https://image.tmdb.org/t/p/w500/gLWjwltZIMIaYLiB6FHVVUXAlxz.jpg,"능력 있는 변호사 '리타'는 '큰돈을 벌게 해주겠다'는 비밀 의뢰를 받고 멕시코 카르텔의 수장 '델 몬테'를 만나러 간다. 그의 요청은 놀랍게도 ""자신을 여자로 다시 태어나게 해달라는 것. 아내도 모르게 새로운 삶을 살 수 있게 세팅하라는 것."" 얼마 뒤, 새로운 그녀 ‘에밀리아 페레즈’가 나타나면서 모두의 인생에 2막이 오른다."
노보케인,"액션, 코미디","댄 버크, 로버트 올슨","잭 퀘이드, 엠버 미드썬더, 레이 니콜슨, 제이콥 배덜런",20250312,https://image.tmdb.org/t/p/w500/dVi5wC7pctrEd6vOWoteIrm3d6s.jpg,"평범한 외모, 평범한 성격, 평범한 직업, 이보다 더 평범할 수 없는 은행원 ‘네이선 케인’은 남들과 다른 비밀을 숨기고 있다. 그것은 바로 선천성 무통각증으로 신체적 고통을 전혀 느끼지 못한다는 것. 첫눈에 반한 직장 동료 ‘셰리’와 완벽한 첫 데이트 후 설레는 마음도 잠시, 은행에 들이닥친 무장 강도단에게 ‘셰리’가 인질로 납치되고 만다. 오직 그녀를 구하겠다는 마음으로 강도를 쫓던 ‘네이선’은 자신의 특별한 능력(?)을 사용해 온몸을 무기 삼아 극한의 위험 속에 뛰어드는데…"
캡틴 아메리카: 브레이브 뉴 월드,"액션, 어드벤처, SF",줄리어스 오나,"안소니 마키, 해리슨 포드, 대니 라미레즈, 칼 럼블리, 지안카를로 에스포지토, 리브 타일러, 팀 블레이크 넬슨",20250212,https://image.tmdb.org/t/p/w500/qj1uEI7zrCWbMppjFZmCXVlWlb1.jpg,"대통령이 된 새디우스 로스와 재회 후, 국제적인 사건의 중심에 서게 된 샘이 전 세계를 붉게 장악하려는 사악한 음모 뒤에 숨겨진 존재와 이유를 파헤쳐 나가는 액션 블록버스터"
화이트 버드,드라마,마크 포스터,,20250312,https://image.tmdb.org/t/p/w500/3eb52lL6saXA3UQ1vwhSMIAtpsP.jpg,"불편한 다리를 가졌다는 이유로 따돌림 당하는 소년 ‘줄리안’은 어느 날, 깊은 어둠에 갇혀버린 소녀 ‘사라’를 구한다. 자신의 목숨까지 잃을 수 있는 위험한 상황 속에서도, ‘줄리안’과 가족들은 ‘사라’를 끝까지 지키려 한다. 하지만 또 다시 예상치 못한 사건이 그들에게 다가오는데…"
말할 수 없는 비밀,"판타지, 멜로/로맨스",서유민,"도경수, 원진아, 신예은, 강말금, 강경헌, 임성재, 안승균, 김욱, 오경화, 조한준, 김규선, 공현지, 배성우, 하윤희, 이채린, 유예린, 정해진, 방예인, 김윤우, 공유림, 조승희, 김은비, 김하송, 백지혜, 김강민, 권반석, 한동균, 안미라, 김영조, 김선희, 최상재",20250127,https://image.tmdb.org/t/p/w500/lxqqFS3W1NsyeAcUVULAxT2jld2.jpg,"유학 중이던 피아니스트 유준은 팔목 치료를 위해 한국에 교환 학생으로 오게 된다. 학교에 처음 간 그날, 신비로운 피아노 선율에 이끌려 도착한 연습실에서 유준은 정아와 마주치고, 운명처럼 끌린 두 사람은 시간을 보내며 가까워진다. 하지만, 연락처조차 알려주지 않는 정아와의 만남은 계속 엇갈리고, 유준의 시선이 늘 자신을 향해 있다고 생각한 인희의 갑작스러운 고백은 정아에게 큰 상처를 입힌다. 그날 이후 사라진 정아의 행방을 찾던 유준은 정아의 비밀을 마주하게 되는데…"
히트맨2,"코미디, 액션",최원섭,"권상우, 정준호, 이이경, 황우슬혜, 김성오, 이지원, 송윤하, 오충근, 김태완",20250122,https://image.tmdb.org/t/p/w500/cAUoVuOZONkL2GLcMc6xjjPC1mQ.jpg,"욱해서 그린 웹툰 암살요원 준의 성공으로 잠깐 흥행 작가가 된 준은 시즌2 연재 시작과 동시에 순식간에 뇌절작가로 전락하고, 오히려 망작이 된 시즌2는 준을 노리는 글로벌한 악당들의 내한 열풍을 일으킨다. 아무것도 모른 채, 다시 한번 대히트를 꿈꾸며 새 웹툰 연재에 돌입한 준. 그러나 그의 웹툰을 모방한 테러가 발생하고, 국정원은 다름 아닌 준을 범인으로 지목하는데…"
명탐정 코난: 14번째 표적,애니메이션,코다마 켄지,,20250214,https://image.tmdb.org/t/p/w500/wX4Erw7OfQqx7cMkCWwcnzhTuhj.jpg,"메구레 경부, 란의 엄마인 키사키 에리 변호사, 아가사 박사가 동일인으로 추정되는 범인에게 습격을 당한다. 피해자들이 모두 모리 코고로 탐정과 관련이 있다는 것과 범인이 현장에 남긴 트럼프 카드가 유일한 단서. 모리 코고로 탐정이 과거 형사 시절에 체포했던 전직 카드 딜러 출신의 살인범 무라카미 죠가 용의선상에 오른다. 코난은 범인이 남긴 트럼프 카드에서 습격당한 3명의 이름 속 공통점을 찾아내고, 끝나지 않은 연쇄 살인 게임을 막기 위해 범인의 다음 표적들의 행선지인 수중 레스토랑 ‘아쿠아 크리스탈’로 항한다. 코난 일행과 모리 코고로 탐정, 그리고 범인의 타깃들이 모두 완벽한 수중 밀실 시설 ‘아쿠아 크리스탈’에 모이게 되는데…"
서브스턴스,스릴러,코랄리 파르쟈,"데미 무어, 마가렛 퀄리, 데니스 퀘이드",20241211,https://image.tmdb.org/t/p/w500/oUkeyrXvGUEylOQtlYMv9esNRiu.jpg,"한때 아카데미상을 수상하고 명예의 거리까지 입성한 대스타였지만 지금은 TV 에어로빅 쇼 진행자로 전락한 엘리자베스. 50살이 되던 날, 프로듀서에게서 어리고 섹시하지 않다는 이유로 해고를 당한다. 돌아가던 길에 차 사고로 병원에 실려간 엘리자베스는 매력적인 남성 간호사로부터 서브스턴스라는 약물을 권유받는다. 한 번의 주사로 젊고 아름답고 완벽한 수가 탄생하는데..."
검은 수녀들,"미스터리, 드라마",권혁재,"송혜교, 전여빈, 이진욱, 문우진, 김국희, 신재휘, 박정학, 전수지, 박지일, 유나, 최유리, 오만석, 마시모 피에로, 아드리아나 마리아 두엘로, 이경성, 윤진성, 신주협, 허준호, 강동원, 한동희, 홍성덕, 장의돈, 김성준, 곽영선, 배진완, 강정호, 김비비, 윤소희, 우정환, 유용, 박용, 이주형, 윤종욱, 이명하, 이세랑, 이유근, 김동률, 강태웅, 정현준, 안도현, 서하림, 조유진, 김하루, 심혜주, 유하랑, 공이연, 문경초, 한나라, 김병철, 엄모세, 이종훈, 조유라, 박준호, 조강민, 토마스 프레데릭센, 손문영, 이은경, 맹주원",20250124,https://image.tmdb.org/t/p/w500/fT6SIrOyGwWZ4ZujHjRcabcxgfq.jpg,"유니아 수녀는 희준의 몸에 숨어든 악령이 12형상 중 하나라고 확신한다. 당장 올 수 없는 구마 사제를 기다리다가 부마자가 희생될 것이 분명한 상황. 결국 유니아는 소년을 구하기 위해 서품을 받지 못한 수녀는 구마를 할 수 없다는 금기를 깨기로 결심한다. 하지만 담당의는 희준을 살릴 수 있는 것은 오직 의학이라 믿는 바오로 신부. 우연한 기회에 그의 제자 미카엘라 수녀의 비밀을 알아챈 유니아는 희준을 병원에서 빼내기 위해 막무가내로 도움을 요청한다. 미카엘라는 거침없는 유니아에게 반발심을 느끼지만, 동질감이 느껴지는 희준을 위해 힘을 보태기로 한다. 마침내 두 수녀는 수단과 방법을 가리지 않고 오직 소년을 살리기 위한 위험한 의식을 시작하는데..."
엘리: 몬스터 패밀리,애니메이션,"피엣 드 라이커, 예스퍼 묄러",,20250214,https://image.tmdb.org/t/p/w500/vtrfJ6t4NbhTMFh8MqWamtJjHi6.jpg,"외딴 저택에서 삼촌 '챔벌린'과 단둘이 살던 유령 소녀 '엘리'. 어느 날, 로봇 군단을 거느리는 '퀀트릭스'가 몬스터들을 모두 잡아가기 시작했다는 소식을 들은 '챔벌린'은 '엘리'를 안전한 곳으로 숨기고 본인은 납치되고 만다. 이에 '엘리'는 삼촌을 구하기 위해 난생처음 바깥 세상으로 나서고 도착한 대도시에서 슈퍼스타 털복숭이, 채식주의 드라큘라, 다정한 프랑켄슈타인까지 몬스터 친구들을 만나 삼촌을 구하기 위한 여정을 함께하게 되는데..."
브루탈리스트,드라마,브래디 코베,"애드리언 브로디, 펠리시티 존스, 가이 피어스",20250212,https://image.tmdb.org/t/p/w500/bevMyKDaPWSWubHIfclFf1iy8lO.jpg,"전쟁의 상흔을 뒤로하고 미국에 정착한 건축가 라즐로 토스. 미국 이민자의 냉혹한 현실 속에 전쟁의 트라우마를 견뎌내던 어느 날. 라즐로의 천재성을 알아본 부유한 사업가 해리슨이 기념비적인 건축물 설계를 제안한다. 하지만, 시대와 공간, 빛의 경계를 넘어 대담하고 혁신적인 그의 건축 설계는 사람들의 공감을 얻지 못하고 반대에 부딪히게 된다. 후원자 해리슨의 감시와 압박, 주변의 비난이 거세질수록 오히려 더 자신의 설계에 집착하던 라즐로. 혁신적인 브루탈리즘 건축에 자신을 투영하던 라즐로는 결국 공사가 중단될 위기에 처하는데..."
더 폴: 디렉터스 컷,"드라마, 판타지",타셈 싱,"리 페이스, 카틴카 언타루",20241225,https://image.tmdb.org/t/p/w500/i4fdAyiapSg2RCoQ1O081drER9D.jpg,"무성영화 시대의 할리우드를 배경으로, 스턴트맨 로이는 같은 병원에 입원한 호기심 많은 어린 소녀 알렉산드리아와 친구가 되고, 매일 다섯 무법자의 환상적인 모험 이야기를 해준다. 이야기는 현실과 상상이 뒤섞이면서 알렉산드리아를 신비의 세계로 데려간다."
아이유 콘서트 : 더 위닝,공연,"오윤동, 이예지",이지은,20250124,https://image.tmdb.org/t/p/w500/ld6Pp824MMzJ7vzCdowvTRtVRTN.jpg,"최초의 아이콘 아이유, 100번째 콘서트로 완성된 찬란한 기록. 'Love wins all', '홀씨', 'Shopper', 'Celebrity', 'Last Fantasy' 등 수많은 명곡으로 서울월드컵경기장을 가득 채운 아이유와 유애나의 뜨거운 에너지와 함성. 상암 하늘을 수놓은 환상적인 드론쇼까지! 승리를 위해 달려온 여정의 마지막 챕터가 지금 스크린에서 펼쳐진다!"
